"Rank,",College/University,",",Average Early Career Pay,",",Average Student Loan Debt,",",College Risk Reward Indicator
"81,",University of New Orleans (UNO),",","$45,500 ",",","$18,850 ",",2.41",
"82,",University of California – San Diego (UCSD),",","$52,400 ",",","$21,790 ",",2.40",
"83,",Carleton College,",","$44,000 ",",","$18,302 ",",2.40",
"84,",University of Utah,",","$48,100 ",",","$20,019 ",",2.40",
"85,",University of Florida (UF),",","$49,500 ",",","$20,642 ",",2.40",
"86,",Hodges University,",","$42,400 ",",","$17,775 ",",2.39",
"87,",University of Virginia (UVA) – Main Campus,",","$54,700 ",",","$22,933 ",",2.39",
"88,",University of Nevada – Las Vegas (UNLV),",","$43,800 ",",","$18,542 ",",2.36",
"89,",Colorado Technical University – Colorado Springs Campus,",","$46,000 ",",","$19,516 ",",2.36",
"90,",Washington and Lee University,",","$54,700 ",",","$23,224 ",",2.36",
"91,",Brown University,",","$57,100 ",",","$24,300 ",",2.35",
"92,",University of California – Santa Barbara (UCSB),",","$49,400 ",",","$21,045 ",",2.35",
"93,",Claremont McKenna College,",","$54,400 ",",","$23,232 ",",2.34",
"94,",Framingham State University,",","$42,200 ",",","$18,027 ",",2.34",
"95,",Mercy College,",","$40,700 ",",","$17,399 ",",2.34",
"96,",Washington University in St. Louis,",","$55,500 ",",","$23,858 ",",2.33",
"97,",California Polytechnic State University (CalPoly) – San Luis Obispo,",","$57,800 ",",","$24,880 ",",2.32",
"98,",University of Colorado at Colorado Springs,",","$45,900 ",",","$19,780 ",",2.32",
"99,",NYU Polytechnic School of Engineering,",","$64,800 ",",","$27,977 ",",2.32",
"100,",Georgetown University – Washington D.C.,",","$51,800 ",",","$22,464 ",",2.31",
"101,",New Jersey City University,",","$47,800 ",",","$20,763 ",",2.30",
"102,",University of Illinois at Urbana-Champaign (UIUC),",","$56,400 ",",","$24,600 ",",2.29",
"103,",Excelsior College,",","$52,600 ",",","$23,008 ",",2.29",
"104,",Davidson College,",","$48,800 ",",","$21,365 ",",2.28",
"105,",Missouri University of Science and Technology (S&T),",","$62,700 ",",","$27,591 ",",2.27",
"106,",South Dakota School of Mines & Technology,",","$62,300 ",",","$27,480 ",",2.27",
"107,",Southeastern Oklahoma State University,",","$43,900 ",",","$19,368 ",",2.27",
"108,",University of Michigan – Dearborn Campus,",","$50,100 ",",","$22,168 ",",2.26",
"109,",Kenyon College,",","$45,800 ",",","$20,323 ",",2.25",
"110,",Utah State University – Main Campus,",","$47,700 ",",","$21,200 ",",2.25",
"111,",San Jose State University (SJSU),",","$52,700 ",",","$23,467 ",",2.25",
"112,",Sonoma State University,",","$46,500 ",",","$20,744 ",",2.24",
"113,",University of Wisconsin (UW) – Platteville Campus,",","$54,800 ",",","$24,504 ",",2.24",
"114,",Colorado College (CC),",","$44,100 ",",","$19,756 ",",2.23",
"115,",Colby College,",","$48,700 ",",","$21,958 ",",2.22",
"116,",Whitman College,",","$42,400 ",",","$19,147 ",",2.21",
"117,",Oregon State University (OSU) – Main Campus,",","$48,600 ",",","$21,955 ",",2.21",
"118,","Clarkson University – Potsdam, NY",",","$61,900 ",",","$28,000 ",",2.21",
"119,",University of Texas at Arlington (UTA),",","$51,200 ",",","$23,210 ",",2.21",
"120,",University of North Florida (UNF),",","$42,400 ",",","$19,253 ",",2.20",
"121,",University of Arizona,",","$50,100 ",",","$22,761 ",",2.20",
"122,",Santa Clara University,",","$58,900 ",",","$26,759 ",",2.20",
"123,",University of Colorado – Denver Campus,",","$47,300 ",",","$21,502 ",",2.20",
"124,",Swarthmore College,",","$48,000 ",",","$21,866 ",",2.20",
"125,",Louisiana State University (LSU),",","$48,900 ",",","$22,294 ",",2.19",
"126,",Humboldt State University,",","$42,400 ",",","$19,351 ",",2.19",
"127,",CUNY – Hunter College,",","$45,800 ",",","$20,912 ",",2.19",
"128,",Rochester Institute of Technology (RIT),",","$56,900 ",",","$26,000 ",",2.19",
"129,",University of Michigan – Ann Arbor,",","$58,000 ",",","$26,510 ",",2.19",
"130,",University of California – Riverside (UCR),",","$46,300 ",",","$21,166 ",",2.19",
"131,",Worcester Polytechnic Institute (WPI),",","$63,700 ",",","$29,148 ",",2.19",
"132,",University of Illinois at Chicago,",","$50,500 ",",","$23,158 ",",2.18",
"133,",University of Chicago,",","$50,600 ",",","$23,223 ",",2.18",
"134,",Texas A&M University – Main Campus,",","$55,200 ",",","$25,540 ",",2.16",
"135,",University of Georgia (UGA),",","$46,600 ",",","$21,638 ",",2.15",
"136,",University of Notre Dame,",","$57,400 ",",","$26,674 ",",2.15",
"137,",Denison University,",","$45,900 ",",","$21,376 ",",2.15",
"138,",University of Maryland – College Park,",","$53,900 ",",","$25,131 ",",2.14",
"139,",University of California – Santa Cruz (UCSC),",","$48,400 ",",","$22,583 ",",2.14",
"140,",Lafayette College,",","$58,900 ",",","$27,497 ",",2.14",
"141,",University of Southern Mississippi (USM),",","$38,100 ",",","$17,806 ",",2.14",
"142,",Western Washington University,",","$46,000 ",",","$21,520 ",",2.14",
"143,",University of Richmond,",","$48,200 ",",","$22,550 ",",2.14",
"144,",Armstrong Atlantic State University (AASU),",","$42,300 ",",","$19,806 ",",2.14",
"145,",West Texas A & M University,",","$44,000 ",",","$20,682 ",",2.13",
"146,",University of Nevada – Reno (UNR),",","$47,800 ",",","$22,500 ",",2.12",
"147,",University of Oklahoma,",","$49,000 ",",","$23,151 ",",2.12",
"148,",Fort Lewis College,",","$41,100 ",",","$19,507 ",",2.11",
"149,",Florida Atlantic University (FAU),",","$44,600 ",",","$21,448 ",",2.08",
"150,",University of Connecticut (UConn) – Main Campus,",","$51,900 ",",","$24,999 ",",2.08",
"151,",San Francisco State University (SFSU),",","$47,200 ",",","$22,741 ",",2.08",
"152,",Emory University,",","$51,300 ",",","$24,741 ",",2.07",
"153,",James Madison University (JMU),",","$49,100 ",",","$23,732 ",",2.07",
"154,",Northeastern University,",","$55,000 ",",","$26,692 ",",2.06",
"155,",University of Houston Downtown (UHD),",","$47,800 ",",","$23,249 ",",2.06",
"156,",Virginia Military Institute (VMI) *,",","$54,900 ",",","$26,720 ",",2.05",
"157,",CUNY – Brooklyn College,",","$42,000 ",",","$20,500 ",",2.05",
"158,",Mississippi University for Women,",","$43,200 ",",","$21,095 ",",2.05",
"159,",The University of Texas (UT) – Health Science Center at San Antonio,",","$55,900 ",",","$27,337 ",",2.04",
"160,",California State University – San Bernardino (CSUSB),",","$41,000 ",",","$20,077 ",",2.04",
"161,",Oklahoma State University (OSU) – Main Campus,",","$46,100 ",",","$22,591 ",",2.04",
"162,",University of Wyoming (UW),",","$48,300 ",",","$23,708 ",",2.04",
"163,",Tufts University,",","$54,200 ",",","$26,616 ",",2.04",
"164,",Texas Tech University,",","$51,500 ",",","$25,306 ",",2.04",
"165,",Carnegie Mellon University (CMU),",","$64,700 ",",","$31,905 ",",2.03",
"166,","Cameron University – Lawton, OK",",","$41,500 ",",","$20,512 ",",2.02",
"167,",Prairie View A & M University,",","$55,600 ",",","$27,500 ",",2.02",
"168,","Wesleyan University – Middletown, CT",",","$46,400 ",",","$22,959 ",",2.02",
"169,",California State University – San Marcos (CSUSM),",","$44,500 ",",","$22,024 ",",2.02",
"170,",Rutgers University – New Brunswick Campus,",","$50,800 ",",","$25,228 ",",2.01",
"171,",Azusa Pacific University,",","$41,500 ",",","$20,612 ",",2.01",
"172,",Washington State University (WSU),",","$48,700 ",",","$24,298 ",",2.00",
