"Rank,",College/University,",",Average Early Career Pay,",",Average Student Loan Debt,",",College Risk Reward Indicator
"347,","Chamberlain College of Nursing – Addison, IL",",","$61,300 ",",","$36,304 ",",1.69",
"348,",Harding University,",","$40,700 ",",","$24,120 ",",1.69",
"349,",Pittsburg State University,",","$39,300 ",",","$23,307 ",",1.69",
"350,",University of Alaska – Fairbanks Campus,",","$50,400 ",",","$29,906 ",",1.69",
"351,",Baylor University,",","$46,800 ",",","$27,832 ",",1.68",
"352,",University of Rochester,",","$51,400 ",",","$30,604 ",",1.68",
"353,",University of Vermont (UVM),",","$45,800 ",",","$27,276 ",",1.68",
"354,",Wagner College,",","$48,500 ",",","$28,888 ",",1.68",
"355,",University of Wisconsin (UWEC) – Eau Claire,",","$44,000 ",",","$26,210 ",",1.68",
"356,",University of North Texas (UNT),",","$43,600 ",",","$25,976 ",",1.68",
"357,",Southeastern Louisiana University,",","$39,400 ",",","$23,488 ",",1.68",
"358,","Wheaton College – Wheaton, IL",",","$43,500 ",",","$25,939 ",",1.68",
"359,",Loyola Marymount University,",","$50,700 ",",","$30,243 ",",1.68",
"360,",Middle Tennessee State University (MTSU),",","$41,600 ",",","$24,834 ",",1.68",
"361,",Rollins College,",","$44,700 ",",","$26,689 ",",1.67",
"362,",William Woods University,",","$35,600 ",",","$21,260 ",",1.67",
"363,",University of San Diego (USD),",","$50,600 ",",","$30,225 ",",1.67",
"364,",Kennesaw State University,",","$41,400 ",",","$24,740 ",",1.67",
"365,",University of North Carolina at Greensboro (UNCG),",","$38,900 ",",","$23,265 ",",1.67",
"366,",John Brown University,",","$41,000 ",",","$24,525 ",",1.67",
"367,",Eastern Washington University,",","$45,500 ",",","$27,259 ",",1.67",
"368,",Macalester College,",","$40,300 ",",","$24,156 ",",1.67",
"369,",Texas A&M University – Corpus Christi Campus,",","$44,100 ",",","$26,445 ",",1.67",
"370,",Oberlin College,",","$41,700 ",",","$25,018 ",",1.67",
"371,",Grantham University,",","$53,200 ",",","$31,920 ",",1.67",
"372,",Brigham Young University (BYU) – Idaho Campus,",","$48,700 ",",","$29,224 ",",1.67",
"373,",University of Montana,",","$36,900 ",",","$22,168 ",",1.66",
"374,","Westminster College – Salt Lake City, UT",",","$45,800 ",",","$27,523 ",",1.66",
"375,",Indiana University (IU) – Bloomington,",","$45,400 ",",","$27,300 ",",1.66",
"376,",University of Kentucky (UK),",","$45,800 ",",","$27,552 ",",1.66",
"377,",Frostburg State University,",","$41,400 ",",","$24,916 ",",1.66",
"378,",Benedictine University,",","$44,400 ",",","$26,750 ",",1.66",
"379,",American International College,",","$54,100 ",",","$32,596 ",",1.66",
"380,",Cardinal Stritch University,",","$48,900 ",",","$29,473 ",",1.66",
"381,",Hartwick College,",","$44,300 ",",","$26,708 ",",1.66",
"382,",Coleman University,",","$52,500 ",",","$31,716 ",",1.66",
"383,",University of Toledo,",","$46,200 ",",","$27,928 ",",1.65",
"384,",Boise State University (BSU),",","$44,700 ",",","$27,024 ",",1.65",
"385,",Muhlenberg College,",","$49,100 ",",","$29,702 ",",1.65",
"386,",SUNY – College at Old Westbury,",","$40,200 ",",","$24,324 ",",1.65",
"387,",Furman University,",","$42,800 ",",","$25,903 ",",1.65",
"388,",Milwaukee School of Engineering,",","$61,500 ",",","$37,243 ",",1.65",
"389,",American Public University System,",","$45,200 ",",","$27,412 ",",1.65",
"390,",Elon University,",","$44,800 ",",","$27,176 ",",1.65",
"391,",Gannon University,",","$46,500 ",",","$28,252 ",",1.65",
"392,",University of Denver,",","$47,800 ",",","$29,050 ",",1.65",
"393,",University of San Francisco (USF),",","$51,100 ",",","$31,098 ",",1.64",
"394,",Northwest Missouri State University,",","$40,600 ",",","$24,710 ",",1.64",
"395,","Fashion Institute of Technology – New York, NY",",","$44,800 ",",","$27,303 ",",1.64",
"396,",Fitchburg State College,",","$40,700 ",",","$24,812 ",",1.64",
"397,",William Paterson University,",","$41,100 ",",","$25,062 ",",1.64",
"398,",SUNY – College at Potsdam,",","$35,300 ",",","$21,531 ",",1.64",
"399,",University of Nebraska at Omaha,",","$44,000 ",",","$26,866 ",",1.64",
"400,",Northeastern State University,",","$40,000 ",",","$24,431 ",",1.64",
"401,","ITT Technical Institute – San Diego, CA",",","$54,000 ",",","$33,012 ",",1.64",
"402,",Western Carolina University,",","$38,900 ",",","$23,806 ",",1.63",
"403,",Murray State University,",","$40,100 ",",","$24,554 ",",1.63",
"404,","Baker College – Flint, MI",",","$42,800 ",",","$26,252 ",",1.63",
"405,",Georgia State University,",","$44,500 ",",","$27,295 ",",1.63",
"406,",College of Charleston,",","$41,800 ",",","$25,644 ",",1.63",
"407,",Western International University,",","$52,900 ",",","$32,464 ",",1.63",
"408,",Lamar University,",","$49,600 ",",","$30,452 ",",1.63",
"409,","Clark University – Worcester, MA",",","$40,700 ",",","$24,990 ",",1.63",
"410,",University of Central Oklahoma (UCO),",","$39,900 ",",","$24,530 ",",1.63",
"411,",SUNY – College at Buffalo,",","$39,500 ",",","$24,290 ",",1.63",
"412,",Eastern Michigan University,",","$41,900 ",",","$25,781 ",",1.63",
"413,","Concordia University – Austin, TX",",","$40,400 ",",","$24,882 ",",1.62",
"414,",University of Wisconsin (UW) – La Crosse Campus,",","$42,100 ",",","$25,932 ",",1.62",
"415,","Seton Hall University – South Orange, NJ",",","$48,500 ",",","$29,888 ",",1.62",
"416,","Fairleigh Dickinson University (FDU) – Madison, NJ",",","$46,000 ",",","$28,356 ",",1.62",
"417,",Albright College,",","$46,300 ",",","$28,541 ",",1.62",
"418,",Embry-Riddle Aeronautical University (ERAU) Worldwide,",","$52,600 ",",","$32,436 ",",1.62",
"419,",Florida Southern College,",","$39,400 ",",","$24,314 ",",1.62",
"420,",Bard College,",","$43,100 ",",","$26,599 ",",1.62",
"421,",University of Puget Sound,",","$44,900 ",",","$27,776 ",",1.62",
"422,",Missouri State University (MSU),",","$39,800 ",",","$24,655 ",",1.61",
"423,","Taylor University – Upland, IN",",","$40,500 ",",","$25,125 ",",1.61",
"424,",Quincy University,",","$44,900 ",",","$27,857 ",",1.61",
"425,",University of Nebraska at Kearney,",","$37,400 ",",","$23,229 ",",1.61",
"426,",Eastern Connecticut State University,",","$43,300 ",",","$26,921 ",",1.61",
"427,",Athens State University,",","$37,400 ",",","$23,264 ",",1.61",
"428,",University of Hartford,",","$46,900 ",",","$29,184 ",",1.61",
"429,",University of Baltimore,",","$46,000 ",",","$28,700 ",",1.60",
"430,","Lakeland College – Plymouth, WI",",","$42,800 ",",","$26,716 ",",1.60",
"431,",Samford University,",","$42,500 ",",","$26,543 ",",1.60",
"432,",University of Northern Colorado,",","$40,700 ",",","$25,446 ",",1.60",
"433,",Tarleton State University (TSU),",","$42,000 ",",","$26,267 ",",1.60",
"434,",Providence College,",","$51,900 ",",","$32,475 ",",1.60",
"435,",Wayland Baptist University,",","$41,100 ",",","$25,725 ",",1.60",
"436,",University of Massachusetts (UMass) – Amherst Campus,",","$48,600 ",",","$30,453 ",",1.60",
"437,",Rhodes College,",","$43,200 ",",","$27,077 ",",1.60",
"438,",St. Olaf College,",","$45,300 ",",","$28,396 ",",1.60",
"439,",Western Kentucky University,",","$42,700 ",",","$26,768 ",",1.60",
"440,",Radford University,",","$42,000 ",",","$26,333 ",",1.59",
"441,",Ithaca College,",","$43,200 ",",","$27,092 ",",1.59",
"442,",Fort Hays State University (FHSU),",","$40,100 ",",","$25,172 ",",1.59",
"443,",University of the Pacific,",","$49,000 ",",","$30,760 ",",1.59",
"444,",University of Texas at San Antonio (UTSA),",","$43,500 ",",","$27,337 ",",1.59",
"445,",University of Rhode Island (URI),",","$48,700 ",",","$30,731 ",",1.58",
"446,",Ohio University – Main Campus,",","$43,800 ",",","$27,645 ",",1.58",
"447,",Carson Newman College,",","$44,500 ",",","$28,112 ",",1.58",
"448,",SUNY – Purchase College,",","$41,700 ",",","$26,348 ",",1.58",
"449,",University of New Hampshire (UNH) – Manchester Campus,",","$46,500 ",",","$29,393 ",",1.58",
"450,","Union College – Schenectady, NY",",","$51,700 ",",","$32,691 ",",1.58",
"451,",Whitworth University,",","$41,300 ",",","$26,132 ",",1.58",
"452,",Mississippi State University (MSU),",","$46,400 ",",","$29,365 ",",1.58",
"453,",Arkansas State University (ASU),",","$39,500 ",",","$25,000 ",",1.58",
"454,",University of Southern Indiana,",","$40,600 ",",","$25,732 ",",1.58",
"455,",University of Wisconsin (UW) – Stevens Point Campus,",","$40,800 ",",","$25,871 ",",1.58",
"456,",Pacific University,",","$40,700 ",",","$25,844 ",",1.57",
"457,",Villanova University,",","$55,300 ",",","$35,122 ",",1.57",
"458,",Trident University International,",","$50,000 ",",","$31,768 ",",1.57",
"459,",Campbell University,",","$43,400 ",",","$27,578 ",",1.57",
"460,",Dallas Baptist University,",","$44,500 ",",","$28,279 ",",1.57",
"461,",University of Mississippi,",","$41,600 ",",","$26,443 ",",1.57",
"462,",University at Buffalo (UB),",","$47,500 ",",","$30,220 ",",1.57",
"463,",Notre Dame of Maryland University,",","$50,800 ",",","$32,346 ",",1.57",
"464,",Northern Kentucky University (NKU),",","$43,300 ",",","$27,594 ",",1.57",
"465,",Christopher Newport University,",","$44,100 ",",","$28,135 ",",1.57",
"466,",Miami Dade College (MDC),",","$43,800 ",",","$27,948 ",",1.57",
"467,",University of Iowa (UI),",","$45,000 ",",","$28,716 ",",1.57",
"468,",Saint Mary’s College of California,",","$51,400 ",",","$32,803 ",",1.57",
"469,",Xavier University,",","$47,100 ",",","$30,068 ",",1.57",
"470,",Chapman University,",","$43,800 ",",","$27,979 ",",1.57",
"471,",Belmont Abbey College,",","$42,800 ",",","$27,341 ",",1.57",
"472,",Fairmont State University,",","$41,300 ",",","$26,420 ",",1.56",
"473,",John Carroll University,",","$48,200 ",",","$30,837 ",",1.56",
"474,",Jacksonville University,",","$47,800 ",",","$30,584 ",",1.56",
"475,",SUNY – New Paltz,",","$40,400 ",",","$25,874 ",",1.56",
"476,",University of South Dakota,",","$39,900 ",",","$25,554 ",",1.56",
"477,",Granite State College,",","$37,100 ",",","$23,780 ",",1.56",
"478,",Oregon Health and Science University (OHSU),",","$68,000 ",",","$43,592 ",",1.56",
"479,",Willamette University,",","$42,000 ",",","$26,936 ",",1.56",
"480,",University of Evansville,",","$45,900 ",",","$29,441 ",",1.56",
"481,",Rhode Island College,",","$39,800 ",",","$25,567 ",",1.56",
"482,",University of North Carolina at Wilmington (UNCW),",","$39,900 ",",","$25,644 ",",1.56",
"483,",University of South Carolina – Main Campus,",","$43,900 ",",","$28,233 ",",1.55",
"484,",Iona College,",","$48,000 ",",","$30,885 ",",1.55",
"485,",Seattle Pacific University (SPU),",","$44,800 ",",","$28,844 ",",1.55",
"486,",Mercer University,",","$46,600 ",",","$30,018 ",",1.55",
"487,",Henderson State University,",","$36,700 ",",","$23,641 ",",1.55",
"488,",Georgia Southwestern State University,",","$36,400 ",",","$23,450 ",",1.55",
"489,",High Point University,",","$40,500 ",",","$26,100 ",",1.55",
"490,",The College of Wooster,",","$38,000 ",",","$24,506 ",",1.55",
"491,",Cedarville University,",","$45,000 ",",","$29,105 ",",1.55",
"492,","Emmanuel College – Boston, MA",",","$45,100 ",",","$29,202 ",",1.54",
"493,",St Petersburg College,",","$45,400 ",",","$29,420 ",",1.54",
"494,",Occidental College,",","$46,200 ",",","$29,962 ",",1.54",
"495,",University of Delaware,",","$50,400 ",",","$32,705 ",",1.54",
"496,",SUNY – College at Oneonta,",","$41,500 ",",","$26,932 ",",1.54",
"497,",Houston Baptist University,",","$44,000 ",",","$28,584 ",",1.54",
"498,",Elmhurst College,",","$43,200 ",",","$28,068 ",",1.54",
"499,",University of Wisconsin (UWW) – Whitewater,",","$42,500 ",",","$27,623 ",",1.54",
"500,","Bethel College – Mishawaka, IN",",","$37,100 ",",","$24,132 ",",1.54",
"501,",Jacksonville State University (JSU),",","$40,400 ",",","$26,280 ",",1.54",
"502,",Waynesburg University,",","$46,500 ",",","$30,250 ",",1.54",
"503,",Ursuline College,",","$45,400 ",",","$29,542 ",",1.54",
"504,",George Washington University (GWU),",","$48,100 ",",","$31,337 ",",1.53",
"505,",University of Alabama – Main Campus,",","$45,000 ",",","$29,320 ",",1.53",
"506,",Long Island University – Brooklyn,",","$49,800 ",",","$32,448 ",",1.53",
"507,",Portland State University (PSU),",","$43,600 ",",","$28,410 ",",1.53",
"508,",Washburn University,",","$42,000 ",",","$27,383 ",",1.53",
"509,",Berry College,",","$36,800 ",",","$23,997 ",",1.53",
"510,",University of Findlay,",","$45,100 ",",","$29,441 ",",1.53",
"511,",Massachusetts College of Art and Design,",","$41,000 ",",","$26,792 ",",1.53",
"512,",Ohio Wesleyan University (OWU),",","$43,600 ",",","$28,516 ",",1.53",
"513,",University of Texas at Tyler,",","$45,800 ",",","$29,956 ",",1.53",
"514,",Oklahoma City University,",","$42,500 ",",","$27,819 ",",1.53",
"515,",Centre College of Kentucky,",","$39,700 ",",","$25,994 ",",1.53",
"516,",University of North Carolina at Pembroke (UNCP),",","$37,900 ",",","$24,860 ",",1.52",
"517,",Rider University,",","$42,800 ",",","$28,080 ",",1.52",
"518,",Fontbonne University,",","$37,000 ",",","$24,281 ",",1.52",
"519,",Southern Illinois University (SIU) – Carbondale Campus,",","$45,900 ",",","$30,138 ",",1.52",
"520,",University of the District of Columbia,",","$47,400 ",",","$31,124 ",",1.52",
"521,",Xavier University of Louisiana,",","$37,400 ",",","$24,570 ",",1.52",
"522,",Long Island University – C W Post Campus,",","$43,300 ",",","$28,448 ",",1.52",
"523,",Manhattan College,",","$57,000 ",",","$37,449 ",",1.52",
"524,",Montclair State University,",","$42,700 ",",","$28,070 ",",1.52",
"525,",Grove City College,",","$48,100 ",",","$31,634 ",",1.52",
"526,",University of West Georgia,",","$41,800 ",",","$27,494 ",",1.52",
"527,",Linfield College,",","$43,600 ",",","$28,697 ",",1.52",
"528,",Grand Canyon University,",","$49,700 ",",","$32,728 ",",1.52",
"529,",Loma Linda University,",","$66,100 ",",","$43,528 ",",1.52",
"530,",Thomas Edison State College,",","$49,400 ",",","$32,536 ",",1.52",
"531,",Rutgers University – Camden Campus,",","$43,500 ",",","$28,651 ",",1.52",
"532,",Auburn University – Montgomery,",","$41,200 ",",","$27,146 ",",1.52",
"533,",The College of New Jersey (TCNJ),",","$51,000 ",",","$33,635 ",",1.52",
"534,",Pepperdine University,",","$48,300 ",",","$31,884 ",",1.51",
"535,",Texas Woman’s University,",","$43,600 ",",","$28,796 ",",1.51",
"536,",Rensselaer Polytechnic Institute (RPI),",","$63,300 ",",","$41,814 ",",1.51",
"537,",Howard University,",","$48,500 ",",","$32,071 ",",1.51",
"538,",University of Wisconsin (UWP) – Parkside,",","$40,800 ",",","$26,996 ",",1.51",
"539,",University of New England (UNE),",","$45,500 ",",","$30,140 ",",1.51",
"540,",Wright State University – Main Campus,",","$46,400 ",",","$30,778 ",",1.51",
"541,",Mesa State College,",","$40,300 ",",","$26,740 ",",1.51",
"542,",Purdue University – Calumet Campus,",","$43,100 ",",","$28,600 ",",1.51",
"543,",Cleary University,",","$42,400 ",",","$28,148 ",",1.51",
"544,",Lyndon State College,",","$38,400 ",",","$25,520 ",",1.50",
"545,","Loyola University – New Orleans, LA",",","$37,800 ",",","$25,133 ",",1.50",
"546,",University of Mary,",","$42,900 ",",","$28,536 ",",1.50",
"547,",Oklahoma Wesleyan University (OWU),",","$42,200 ",",","$28,072 ",",1.50",
"548,",Lewis & Clark College,",","$41,200 ",",","$27,421 ",",1.50",
"549,",Norwich University,",","$48,800 ",",","$32,498 ",",1.50",
"550,",The New School,",","$44,000 ",",","$29,324 ",",1.50",
"551,",Guilford College,",","$38,000 ",",","$25,360 ",",1.50",
"552,","Union University – Jackson, TN",",","$43,700 ",",","$29,187 ",",1.50",
"553,",Nicholls State University,",","$36,300 ",",","$24,250 ",",1.50",
"554,",University of Massachusetts (UMass) – Dartmouth Campus,",","$46,500 ",",","$31,070 ",",1.50",
"555,",Suffolk University,",","$44,200 ",",","$29,535 ",",1.50",
"556,",Notre Dame de Namur University (NDNU),",","$46,900 ",",","$31,348 ",",1.50",
"557,",Rhode Island School of Design (RISD),",","$45,400 ",",","$30,376 ",",1.49",
"558,","Loyola University – Baltimore, MD",",","$51,100 ",",","$34,190 ",",1.49",
"559,",Rivier College,",","$44,900 ",",","$30,068 ",",1.49",
"560,",Metropolitan State University of Denver,",","$42,500 ",",","$28,468 ",",1.49",
"561,",Pennsylvania State University (Penn State) – Erie-Behrend College,",","$55,100 ",",","$36,935 ",",1.49",
"562,",University of Minnesota – Duluth Campus,",","$46,600 ",",","$31,244 ",",1.49",
"563,","Northwood University – Midland, MI",",","$43,500 ",",","$29,212 ",",1.49",
"564,",Shepherd University,",","$41,600 ",",","$27,938 ",",1.49",
"565,",University of Arkansas – Little Rock Campus,",","$40,800 ",",","$27,412 ",",1.49",
"566,",Saint Peters College,",","$44,500 ",",","$29,912 ",",1.49",
"567,",University of Missouri – Kansas City (UMKC),",","$43,800 ",",","$29,464 ",",1.49",
"568,",University of The Incarnate Word,",","$44,200 ",",","$29,744 ",",1.49",
"569,",Stephen F. Austin State University (SFA),",","$40,500 ",",","$27,278 ",",1.48",
"570,",Drury University,",","$37,600 ",",","$25,336 ",",1.48",
"571,",Moravian College and Moravian Theological Seminary,",","$44,200 ",",","$29,808 ",",1.48",
"572,",College for Creative Studies,",","$43,700 ",",","$29,508 ",",1.48",
"573,","St. Joseph’s College (SJC) – Brooklyn, NY",",","$35,200 ",",","$23,772 ",",1.48",
"574,",Massachusetts Maritime Academy,",","$55,600 ",",","$37,582 ",",1.48",
"575,",Colorado State University (CSU) – Pueblo Campus,",","$44,200 ",",","$29,914 ",",1.48",
"576,",Trevecca Nazarene University,",","$42,000 ",",","$28,430 ",",1.48",
"577,",University of Texas – Medical Branch (UTMB),",","$58,000 ",",","$39,268 ",",1.48",
"578,",University of Dayton,",","$52,100 ",",","$35,278 ",",1.48",
"579,",University of Central Missouri,",","$40,500 ",",","$27,424 ",",1.48",
"580,",Susquehanna University,",","$43,900 ",",","$29,734 ",",1.48",
"581,",Marymount Manhattan College,",","$43,400 ",",","$29,419 ",",1.48",
"582,",Central College,",","$43,400 ",",","$29,440 ",",1.47",
"583,",Indiana University-Purdue University – Fort Wayne (IPFW),",","$43,400 ",",","$29,452 ",",1.47",
"584,",Missouri Western State University,",","$38,300 ",",","$26,015 ",",1.47",
"585,",Otterbein College,",","$42,200 ",",","$28,668 ",",1.47",
"586,",Brandeis University,",","$45,300 ",",","$30,848 ",",1.47",
"587,",Old Dominion University,",","$43,100 ",",","$29,357 ",",1.47",
"588,","St. Mary’s University – San Antonio, TX",",","$41,300 ",",","$28,132 ",",1.47",
"589,","Cornell College – Mount Vernon, IA",",","$36,700 ",",","$25,004 ",",1.47",
"590,",SUNY – College at Brockport,",","$40,600 ",",","$27,666 ",",1.47",
"591,",University of Southern Maine (USM),",","$40,600 ",",","$27,716 ",",1.46",
"592,","Mount Saint Mary College – Newburgh, NY",",","$46,500 ",",","$31,764 ",",1.46",
"593,","Monmouth University – West Long Branch, NJ",",","$44,900 ",",","$30,678 ",",1.46",
"594,",Florida Agricultural and Mechanical (A&M) University (FAMU),",","$45,900 ",",","$31,407 ",",1.46",
"595,",Aurora University,",","$43,000 ",",","$29,448 ",",1.46",
"596,",Southeast Missouri State University,",","$38,700 ",",","$26,508 ",",1.46",
"597,",Northern Illinois University (NIU),",","$48,500 ",",","$33,234 ",",1.46",
"598,",Western Illinois University,",","$42,000 ",",","$28,785 ",",1.46",
"599,",University of Maryland – Eastern Shore Campus,",","$40,200 ",",","$27,562 ",",1.46",
"600,",Palm Beach Atlantic University (PBAU),",","$39,900 ",",","$27,374 ",",1.46",
"601,",Wittenberg University,",","$44,800 ",",","$30,748 ",",1.46",
"602,","Concordia University – Irvine, CA",",","$40,900 ",",","$28,072 ",",1.46",
"603,",Columbia Southern University,",","$49,300 ",",","$33,868 ",",1.46",
"604,",Metropolitan State University,",","$44,300 ",",","$30,444 ",",1.46",
"605,",LeTourneau University,",","$55,600 ",",","$38,211 ",",1.46",
"606,",Nova Southeastern University,",","$45,100 ",",","$31,022 ",",1.45",
"607,","Manchester College – North Manchester, IN",",","$43,800 ",",","$30,141 ",",1.45",
"608,",University of La Verne,",","$41,000 ",",","$28,215 ",",1.45",
"609,",Bloomsburg University of Pennsylvania,",","$43,100 ",",","$29,661 ",",1.45",
"610,",Lawrence Technological University,",","$56,600 ",",","$38,966 ",",1.45",
"611,",Southwest Minnesota State University (SMSU),",","$38,400 ",",","$26,472 ",",1.45",
"612,",Eastern Kentucky University,",","$39,800 ",",","$27,438 ",",1.45",
"613,",Southwestern University,",","$44,800 ",",","$30,935 ",",1.45",
"614,",Monroe College – Bronx Campus,",","$40,500 ",",","$27,986 ",",1.45",
"615,",New England Institute of Technology,",","$48,600 ",",","$33,612 ",",1.45",
"616,",Syracuse University,",","$50,000 ",",","$34,584 ",",1.45",
"617,",Marquette University,",","$50,900 ",",","$35,211 ",",1.45",
"618,",Southern Methodist University (SMU),",","$50,100 ",",","$34,671 ",",1.45",
"619,",University of Houston Clear Lake (UHCL),",","$44,800 ",",","$31,004 ",",1.44",
"620,","Pace University – New York, NY",",","$51,200 ",",","$35,442 ",",1.44",
"621,",East Tennessee State University (ETSU),",","$41,400 ",",","$28,680 ",",1.44",
"622,",Winston-Salem State University,",","$43,900 ",",","$30,460 ",",1.44",
"623,",Calvin College,",","$42,300 ",",","$29,403 ",",1.44",
"624,",Marshall University,",","$38,300 ",",","$26,625 ",",1.44",
"625,",University of Wisconsin (UW) – River Falls Campus,",","$39,000 ",",","$27,134 ",",1.44",
"626,",Bowie State University (BSU),",","$42,700 ",",","$29,737 ",",1.44",
"627,","Marian University – Indianapolis, IN",",","$44,500 ",",","$31,000 ",",1.44",
"628,",Minnesota State University – Moorhead Campus,",","$40,500 ",",","$28,248 ",",1.43",
"629,","Saint Mary’s College – Notre Dame, IN",",","$44,300 ",",","$30,910 ",",1.43",
"630,","St. John’s University – Queens, NY",",","$47,200 ",",","$32,950 ",",1.43",
"631,",Illinois State University,",","$43,500 ",",","$30,373 ",",1.43",
"632,",Illinois Wesleyan University (IWU),",","$45,900 ",",","$32,101 ",",1.43",
"633,",Rowan University,",","$45,400 ",",","$31,759 ",",1.43",
"634,",Longwood University,",","$39,500 ",",","$27,644 ",",1.43",
"635,",Hobart William Smith Colleges,",","$49,000 ",",","$34,330 ",",1.43",
"636,",SUNY – College at Cortland,",","$39,100 ",",","$27,472 ",",1.42",
"637,",Ball State University (BSU),",","$39,300 ",",","$27,627 ",",1.42",
"638,","Loyola University – Chicago, IL",",","$44,200 ",",","$31,089 ",",1.42",
"639,",Pennsylvania State University (Penn State) – Main Campus,",","$52,500 ",",","$36,935 ",",1.42",
"640,",Belmont University,",","$40,200 ",",","$28,306 ",",1.42",
"641,",Ramapo College of New Jersey,",","$42,500 ",",","$29,972 ",",1.42",
"642,",Indiana University (IU) – New Albany,",","$37,700 ",",","$26,594 ",",1.42",
"643,",East Stroudsburg University (ESU),",","$39,300 ",",","$27,730 ",",1.42",
"644,",Capella University,",","$47,500 ",",","$33,524 ",",1.42",
"645,",Minnesota State University – Mankato Campus,",","$44,700 ",",","$31,568 ",",1.42",
"646,",Carthage College,",","$40,700 ",",","$28,768 ",",1.41",
"647,",Simmons College,",","$49,800 ",",","$35,205 ",",1.41",
"648,",Northwest Nazarene University,",","$39,100 ",",","$27,657 ",",1.41",
"649,",Wake Forest University,",","$49,100 ",",","$34,745 ",",1.41",
"650,",University of Maryland University College (UMUC),",","$49,300 ",",","$34,908 ",",1.41",
"651,",Tulane University,",","$44,700 ",",","$31,653 ",",1.41",
"652,",Morehouse College,",","$50,500 ",",","$35,807 ",",1.41",
"653,",Texas Tech University – Health Sciences Center,",","$56,000 ",",","$39,708 ",",1.41",
"654,",Siena College,",","$46,000 ",",","$32,678 ",",1.41",
"655,",Coe College,",","$45,000 ",",","$31,992 ",",1.41",
"656,",Drake University,",","$44,300 ",",","$31,546 ",",1.40",
"657,",East Carolina University (ECU),",","$41,700 ",",","$29,699 ",",1.40",
"658,",Stonehill College,",","$44,400 ",",","$31,622 ",",1.40",
"659,",Shippensburg University of Pennsylvania,",","$42,100 ",",","$29,988 ",",1.40",
"660,","Mount St. Mary’s College – Los Angeles, CA",",","$48,500 ",",","$34,576 ",",1.40",
"661,",Capital University,",","$47,400 ",",","$33,833 ",",1.40",
"662,",Northern Michigan University,",","$41,400 ",",","$29,618 ",",1.40",
"663,",Bemidji State University (BSU),",","$39,900 ",",","$28,564 ",",1.40",
"664,",Indiana University-Purdue University – Indianapolis (IUPUI),",","$43,300 ",",","$31,010 ",",1.40",
"665,",Our Lady of the Lake University (OLLU),",","$39,600 ",",","$28,362 ",",1.40",
"666,",Hardin-Simmons University (HSU),",","$48,000 ",",","$34,380 ",",1.40",
"667,",Saint Leo University,",","$38,300 ",",","$27,436 ",",1.40",
"668,",University of New Mexico (UNM),",","$40,600 ",",","$29,116 ",",1.39",
"669,",Pennsylvania State University (Penn State) – Harrisburg Campus,",","$51,500 ",",","$36,935 ",",1.39",
"670,",Saint Anselm College,",","$49,600 ",",","$35,601 ",",1.39",
"671,",Salem State University,",","$39,800 ",",","$28,576 ",",1.39",
"672,",Saint Cloud State University,",","$44,500 ",",","$31,953 ",",1.39",
"673,","Southwestern College – Winfield, KS",",","$46,600 ",",","$33,478 ",",1.39",
"674,",D’Youville College,",","$46,100 ",",","$33,169 ",",1.39",
"675,",Florida Institute of Technology (Florida Tech),",","$56,100 ",",","$40,383 ",",1.39",
"676,",Franciscan University of Steubenville,",","$45,000 ",",","$32,443 ",",1.39",
"677,",University of St. Francis,",","$40,800 ",",","$29,418 ",",1.39",
"678,",William Jewell College,",","$41,400 ",",","$29,885 ",",1.39",
"679,",Valparaiso University,",","$49,100 ",",","$35,449 ",",1.39",
"680,",Youngstown State University (YSU),",","$42,200 ",",","$30,481 ",",1.38",
"681,",Western Oregon University,",","$39,200 ",",","$28,331 ",",1.38",
"682,","Assumption College – Worcester, MA",",","$47,600 ",",","$34,417 ",",1.38",
"683,",Virginia State University (VSU),",","$39,000 ",",","$28,250 ",",1.38",
"684,",Millersville University of Pennsylvania,",","$41,100 ",",","$29,791 ",",1.38",
"685,",University of Pittsburgh – Main Campus,",","$50,300 ",",","$36,466 ",",1.38",
"686,",University of Alabama – Birmingham Campus,",","$42,200 ",",","$30,642 ",",1.38",
"687,",Sam Houston State University,",","$43,200 ",",","$31,433 ",",1.37",
"688,",Montana State University – Billings Campus,",","$37,400 ",",","$27,225 ",",1.37",
"689,",West Chester University,",","$42,300 ",",","$30,881 ",",1.37",
"690,","Bowling Green State University – Bowling Green, OH",",","$41,500 ",",","$30,307 ",",1.37",
"691,",North Park University,",","$40,800 ",",","$29,800 ",",1.37",
"692,",St. Xavier University,",","$41,100 ",",","$30,068 ",",1.37",
"693,",SUNY – Fredonia,",","$39,500 ",",","$28,900 ",",1.37",
"694,",Huntingdon College,",","$38,700 ",",","$28,322 ",",1.37",
"695,",University of Detroit Mercy (UDM),",","$49,400 ",",","$36,180 ",",1.37",
"696,",Colorado Christian University,",","$45,800 ",",","$33,588 ",",1.36",
"697,",Mercyhurst College,",","$41,300 ",",","$30,364 ",",1.36",
"698,",Southern University and A&M College,",","$43,200 ",",","$31,796 ",",1.36",
"699,",Lipscomb University,",","$41,400 ",",","$30,480 ",",1.36",
"700,",Elizabethtown College,",","$41,200 ",",","$30,355 ",",1.36",
"701,",St. Thomas Aquinas College,",","$39,000 ",",","$28,750 ",",1.36",
"702,",Oral Roberts University (ORU),",","$44,400 ",",","$32,750 ",",1.36",
